Study,Sourcelink,Webplotdigitizer,SAVE_lab,year,Country,Assay Type,Cell-type,Sera details long,Number of sera,N(female),Comparator antigen,OmicronVariant,Titre drop,Uncertainty,numerical Titre drop,TitersHAg,TitersOmicron,Log2HAg,Log2Omi,Titre drop Alpha,TitersAlpha,Titre drop Beta,TitersBeta,Titre drop Gamma,TitersGamma,Titre drop Delta,TitersDelta,Sera_details_no_time,time,Standardised_sera_names,standardise_encounters,vacc_type_het,vacc_type,vaccine_manufacturer,standardised_assay,standardised_pseudo,standardised_cell
Münch,https://doi.org/10.1101/2022.01.17.22269201,n,n,2022.01.17,Germany,VSV Pseudovirus,Vero-E6,Conv + 2*vacc (<3m post2nd dose),17,NA,D614G,BA.1,2.4,,2.4,4741,1953,,,,,,,,,,1496,Conv + 2*vacc,<3m post2nd dose,Conv + 2*mRNA,inf+vacc,inf+vacc,inf+vacc,inf+vacc,Pseudovirus,VSV,Vero-E6
Münch,https://doi.org/10.1101/2022.01.17.22269201,n,n,2022.01.17,Germany,VSV Pseudovirus,Vero-E6,Conv + 2*vacc (>3m post 2nd dose),19,BA,D614G,BA.1,2,,2,1644,843,,,,,,,,,,501,Conv + 2*vacc,>3m post 2nd dose,Conv + 2*mRNA,inf+vacc,inf+vacc,inf+vacc,inf+vacc,Pseudovirus,VSV,Vero-E6
Takahashi,https://doi.org/10.1101/2021.12.24.474091,n,n,2021.12.26,Japan,VSV Pseudovirus,Vero-E6 TMPRSS2,2*Pfizer (51d post dose),40,24,WT,BA.1,36.3,,36.3,,,,,,,,,,,,,2*Pfizer,51d post dose,2*Pfizer,2,mRNA,mRNA,pfizer,Pseudovirus,VSV,Vero-E6 TMPRSS2
Takahashi,https://doi.org/10.1101/2021.12.24.474091,n,n,2021.12.26,Japan,VSV Pseudovirus,Vero-E6 TMPRSS2,2*Pfizer (161d post dose),40,24,WT,BA.1,36.3,,36.3,,,,,,,,,,,,,2*Pfizer,161d post dose,2*Pfizer,2,mRNA,mRNA,pfizer,Pseudovirus,VSV,Vero-E6 TMPRSS2
Xia/Swanson/Shi,https://www.biorxiv.org/content/10.1101/2022.01.21.476344v1,n,y,2022.01.22,USA,Pseudovirus,Vero-E6,2*Pfizer (2-4w post 2nd dose),20,10,WT,BA.1,>>25.55,>>,25.55,511,20,,,,,,,,,,,2*Pfizer,2-4w post 2nd dose,2*Pfizer,2,mRNA,mRNA,pfizer,Pseudovirus,Pseudovirus,Vero-E6
Xia/Swanson/Shi,https://www.biorxiv.org/content/10.1101/2022.01.21.476344v1,n,y,2022.01.22,USA,Pseudovirus,Vero-E6,2*Pfizer (8-9m post 2nd dose),22,10,WT,BA.1,>>5,>>,5,65,13,,,,,,,,,,,2*Pfizer,8-9m post 2nd dose,2*Pfizer,2,mRNA,mRNA,pfizer,Pseudovirus,Pseudovirus,Vero-E6
Xia/Swanson/Shi,https://www.biorxiv.org/content/10.1101/2022.01.21.476344v1,n,y,2022.01.22,USA,Pseudovirus,Vero-E6,3*Pfizer (1m post 3rd dose),22,14,WT,BA.1,4,,4,1342,336,,,,,,,,,,,3*Pfizer,1m post 3rd dose,3*Pfizer,3,mRNA,mRNA,pfizer,Pseudovirus,Pseudovirus,Vero-E6
Xia/Swanson/Shi,https://www.biorxiv.org/content/10.1101/2022.01.21.476344v1,n,y,2022.01.22,USA,Pseudovirus,Vero-E6,3*Pfizer (4m post 3rd dose),21,14,WT,BA.1,4.8,,4.8,820,171,,,,,,,,,,,3*Pfizer,4m post 3rd dose,3*Pfizer,3,mRNA,mRNA,pfizer,Pseudovirus,Pseudovirus,Vero-E6
Pajon/Doria-Rose,DOI: 10.1056/NEJMc2119912,n,y,2022.01.26,USA,Lentiviral Pseudotype,293T-ACE2,2*Moderna (1m post 2nd dose),20,10,D614G,BA.1,34.8,,34.8,1496,43,,,,,,,,,,,2*Moderna,1m post 2nd dose,2*Moderna,2,mRNA,mRNA,moderna,Pseudovirus,Lentiviral,293T-ACE2
Pajon/Doria-Rose,DOI: 10.1056/NEJMc2119912,n,y,2022.01.26,USA,Lentiviral Pseudotype,293T-ACE2,2*Moderna (7m post 2nd dose),20,10,D614G,BA.1,8.4,,8.4,193,23,,,,,,23.7,,,,48,2*Moderna,7m post 2nd dose,2*Moderna,2,mRNA,mRNA,moderna,Pseudovirus,Lentiviral,293T-ACE2
Pajon/Doria-Rose,DOI: 10.1056/NEJMc2119912,n,y,2022.01.26,USA,Lentiviral Pseudotype,293T-ACE2,2*Moderna + 50ug Moderna (6m post 3rd dose),20,10,D614G,BA.1,7.8,,7.8,1067,136,,,,,,,,,,,2*Moderna + 50ug Moderna,6m post 3rd dose,2*Moderna + 50ug Moderna,3,mRNA,mRNA,moderna,Pseudovirus,Lentiviral,293T-ACE2
Pajon/Doria-Rose,DOI: 10.1056/NEJMc2119912,n,y,2022.01.26,USA,Lentiviral Pseudotype,293T-ACE2,2*Moderna + 50ug Moderna (1m post 3rd dose),20,10,D614G,BA.1,2.9,,2.9,2423,850,,,,,,,,,,,2*Moderna + 50ug Moderna,1m post 3rd dose,2*Moderna + 50ug Moderna,3,mRNA,mRNA,moderna,Pseudovirus,Lentiviral,293T-ACE2
Pajon/Doria-Rose,DOI: 10.1056/NEJMc2119912,n,y,2022.01.26,USA,Lentiviral Pseudotype,293T-ACE2,2*Moderna + 100ug Moderna (1m post 3rd dose),20,8,D614G,BA.1,3,,3,6690,2228,,,,,,,,,,2994,2*Moderna + 100ug Moderna,1m post 3rd dose,2*Moderna + 100ug Moderna,3,mRNA,mRNA,moderna,Pseudovirus,Lentiviral,293T-ACE2
Pajon/Doria-Rose,DOI: 10.1056/NEJMc2119912,n,y,2022.01.26,USA,Lentiviral Pseudotype,293T-ACE2,2*Moderna + 50ug 1273.211 (1m post 3rd dose),20,13,D614G,BA.1,2.2,,2.2,1799,822,,,,,,839,,,,,2*Moderna + 50ug 1273.211,1m post 3rd dose,2*Moderna + 50ug 1273.211,3,mRNA,mRNA,moderna,Pseudovirus,Lentiviral,293T-ACE2
Pajon/Doria-Rose,DOI: 10.1056/NEJMc2119912,n,y,2022.01.26,USA,Lentiviral Pseudotype,293T-ACE2,2*Moderna + 100ug 1273.211 (1m post 3rd dose),20,11,D614G,BA.1,2.3,,2.3,4790,2115,,,,,,2125,,,,,2*Moderna + 100ug 1273.211,1m post 3rd dose,2*Moderna + 100ug 1273.211,3,mRNA,mRNA,moderna,Pseudovirus,Lentiviral,293T-ACE2
Gintsburg,https://doi.org/10.1101/2022.01.15.22269335,n,n,2022.01.19,Russia,Live-virus,Vero-E6,2*SputnikV (<3m post 2nd dose),31,17,D614G,BA.1,7.6,,7.6,66.5,8.7,,,,,,,,,,,2*SputnikV,<3m post 2nd dose,2*SputnikV,2,other,other,other,Live-virus,Live-virus,Vero-E6
Gintsburg,https://doi.org/10.1101/2022.01.15.22269335,n,n,2022.01.19,Russia,Live-virus,Vero-E6,2*SputnikV (3-6m post 2nd dose),31,17,D614G,BA.1,8.8,,8.8,51.9,5.9,,,,,,,,,,,2*SputnikV,3-6m post 2nd dose,2*SputnikV,2,other,other,other,Live-virus,Live-virus,Vero-E6
Gintsburg,https://doi.org/10.1101/2022.01.15.22269335,n,n,2022.01.19,Russia,Live-virus,Vero-E6,2*Pfizer (2w post 2nd dose),17,8,D614G,BA.1,20.3,,20.3,115.5,5.7,,,,,,,,,,,2*Pfizer,2w post 2nd dose,2*Pfizer,2,mRNA,mRNA,pfizer,Live-virus,Live-virus,Vero-E6
Gintsburg,https://doi.org/10.1101/2022.01.15.22269335,n,n,2022.01.19,Russia,Live-virus,Vero-E6,2*Pfizer (3m post 2nd dose),17,8,D614G,BA.1,19,,19,62.6,3.3,,,,,,,,,,,2*Pfizer,3m post 2nd dose,2*Pfizer,2,mRNA,mRNA,pfizer,Live-virus,Live-virus,Vero-E6
Gintsburg,https://doi.org/10.1101/2022.01.15.22269335,n,n,2022.01.19,Russia,Live-virus,Vero-E6,2*Pfizer (6m post 2nd dose),17,8,D614G,BA.1,>25.3,>,25.3,53.2,2.1,,,,,,,,,,,2*Pfizer,6m post 2nd dose,2*Pfizer,2,mRNA,mRNA,pfizer,Live-virus,Live-virus,Vero-E6
Gintsburg,https://doi.org/10.1101/2022.01.15.22269335,n,n,2022.01.19,Russia,Live-virus,Vero-E6,SputnikV + mild inf,8,2,D614G,BA.1,6.7,,6.7,160,23.8,,,,,,,,,,,SputnikV + mild inf,,SputnikV + mild inf,inf+vacc,inf+vacc,inf+vacc,inf+vacc,Live-virus,Live-virus,Vero-E6
Gintsburg,https://doi.org/10.1101/2022.01.15.22269335,n,n,2022.01.19,Russia,Live-virus,Vero-E6,SputnikV + inf,12,1,D614G,BA.1,5,,5,119.9,23.8,,,,,,,,,,,SputnikV + inf,,SputnikV + inf,inf+vacc,inf+vacc,inf+vacc,inf+vacc,Live-virus,Live-virus,Vero-E6
Gintsburg,https://doi.org/10.1101/2022.01.15.22269335,n,n,2022.01.19,Russia,Live-virus,Vero-E6,WT convalescent,23,10,D614G,BA.1,6,,6,26.2,4.4,,,,,,,,,,,WT convalescent,,WT conv,WT conv,WT conv,WT conv,WT conv,Live-virus,Live-virus,Vero-E6
Mizukami,https://doi.org/10.1101/2022.01.20.22269587,n,n,2022.01.21,Japan,Live-virus microneut,Vero-E6 TMPRSS2,2*Pfizer woR346K (12d post 2nd dose),38,21,WT,BA.1,16.6,,16.6,94,6,,,,59,,19,,23,,50,2*Pfizer woR346K,12d post 2nd dose,2*Pfizer woR346K,2,mRNA,mRNA,pfizer,Live-virus,Live-virus,Vero-E6 TMPRSS2
Mizukami,https://doi.org/10.1101/2022.01.20.22269587,n,n,2022.01.21,Japan,Live-virus microneut,Vero-E6 TMPRSS2,2*Pfizer w R346K (12d post 2nd dose),38,21,WT,BA.1.1,14.2,,14.2,94,7,,,,59,,19,,23,,50,2*Pfizer w R346K,12d post 2nd dose,2*Pfizer w R346K,2,mRNA,mRNA,pfizer,Live-virus,Live-virus,Vero-E6 TMPRSS2
Mizukami,https://doi.org/10.1101/2022.01.20.22269587,n,n,2022.01.21,Japan,Live-virus microneut,Vero-E6 TMPRSS2,2*Pfizer woR346K (8m post 2nd dose),38,21,WT,BA.1,>>3.6,>>,3.6,11,3,,,,,,,,,,7,2*Pfizer woR346K,8m post 2nd dose,2*Pfizer woR346K,2,mRNA,mRNA,pfizer,Live-virus,Live-virus,Vero-E6 TMPRSS2
Mizukami,https://doi.org/10.1101/2022.01.20.22269587,n,n,2022.01.21,Japan,Live-virus microneut,Vero-E6 TMPRSS2,3*Pfizer wo R346K (12d post 3rd dose),35,19,WT,BA.1,4.95,,4.95,476,96,,,,,,,,,,238,3*Pfizer wo R346K,12d post 3rd dose,3*Pfizer wo R346K,3,mRNA,mRNA,pfizer,Live-virus,Live-virus,Vero-E6 TMPRSS2
Poovorawan,https://doi.org/10.1101/2022.01.17.22269415,n,n,2022.01.18,Thailand,Live-virus,Unknown,2*CoronaVac + Inf,78,58,WT,BA.1,11.7,,11.7,2480.4,212,,,,,,,,,,1332,2*CoronaVac + Inf,,2*CoronaVac + Inf,inf+vacc,inf+vacc,inf+vacc,inf+vacc,Live-virus,Live-virus,N/A
Protzer,https://doi.org/10.1038/s41591-022-01715-4,n,n,2022.01.28,Germany,Live-virus,MDA-MB-231-hACE2,WT conv,51,29,D614G,BA.1,8.4,,8.4,,,,,2.5,,5.8,,2.4,,4,,WT conv,,WT conv,WT conv,WT conv,WT conv,WT conv,Live-virus,Live-virus,MDA-MB-231-hACE2
Protzer,https://doi.org/10.1038/s41591-022-01715-4,n,n,2022.01.28,Germany,Live-virus,MDA-MB-231-hACE2,WT conv + Pfizer (2w post 1st dose),59,34,D614G,BA.1,5.7,,5.7,,,,,2.2,,6.3,,2.4,,1.8,,WT conv + Pfizer,2w post 1st dose,WT conv + Pfizer,inf+vacc,inf+vacc,inf+vacc,inf+vacc,Live-virus,Live-virus,MDA-MB-231-hACE2
Protzer,https://doi.org/10.1038/s41591-022-01715-4,n,n,2022.01.28,Germany,Live-virus,MDA-MB-231-hACE2,WT conv + 2*Pfizer (2w post 2nd dose),23,13,D614G,BA.1,28.9,,28.9,,,,,6.5,,7,,3.4,,3.7,,WT conv + 2*Pfizer,2w post 2nd dose,WT conv + 2*Pfizer,inf+vacc,inf+vacc,inf+vacc,inf+vacc,Live-virus,Live-virus,MDA-MB-231-hACE2
Protzer,https://doi.org/10.1038/s41591-022-01715-4,n,n,2022.01.28,Germany,Live-virus,MDA-MB-231-hACE2,2*Pfizer (2w post 2nd dose),47,31,D614G,BA.1,39.3,,39.3,,,,,3.2,,10.5,,3.7,,5.2,,2*Pfizer,2w post 2nd dose,2*Pfizer,2,mRNA,mRNA,pfizer,Live-virus,Live-virus,MDA-MB-231-hACE2
Protzer,https://doi.org/10.1038/s41591-022-01715-4,n,n,2022.01.28,Germany,Live-virus,MDA-MB-231-hACE2,2*Pfizer (4m post 2nd dose),45,28,D614G,BA.1,48.6,,48.6,,,,,4.5,,14.2,,4.4,,6.4,,2*Pfizer,4m post 2nd dose,2*Pfizer,2,mRNA,mRNA,pfizer,Live-virus,Live-virus,MDA-MB-231-hACE2
Protzer,https://doi.org/10.1038/s41591-022-01715-4,n,n,2022.01.28,Germany,Live-virus,MDA-MB-231-hACE2,2*Pfizer (7m post 2nd dose),72,48,D614G,BA.1,16.8,,16.8,,,,,3.4,,7.8,,3.1,,5.4,,2*Pfizer,7m post 2nd dose,2*Pfizer,2,mRNA,mRNA,pfizer,Live-virus,Live-virus,MDA-MB-231-hACE2
Protzer,https://doi.org/10.1038/s41591-022-01715-4,n,n,2022.01.28,Germany,Live-virus,MDA-MB-231-hACE2,WT conv + 2*Pfizer (4m post 2nd dose),51,29,D614G,BA.1,42.9,,42.9,,,,,2.2,,6.6,,3.6,,3,,WT conv + 2*Pfizer,4m post 2nd dose,WT conv + 2*Pfizer,inf+vacc,inf+vacc,inf+vacc,inf+vacc,Live-virus,Live-virus,MDA-MB-231-hACE2
Protzer,https://doi.org/10.1038/s41591-022-01715-4,n,n,2022.01.28,Germany,Live-virus,MDA-MB-231-hACE2,WT conv + 2*Pfizer (7m post 2nd dose),56,32,D614G,BA.1,21.6,,21.6,,,,,2.4,,5,,3.6,,3,,WT conv + 2*Pfizer,7m post 2nd dose,WT conv + 2*Pfizer,inf+vacc,inf+vacc,inf+vacc,inf+vacc,Live-virus,Live-virus,MDA-MB-231-hACE2
Protzer,https://doi.org/10.1038/s41591-022-01715-4,n,n,2022.01.28,Germany,Live-virus,MDA-MB-231-hACE2,3*Pfizer (2w post 3rd dose),59,39,D614G,BA.1,12.2,,12.2,,,,,1.7,,12.5,,4.8,,7.6,,3*Pfizer,2w post 3rd dose,3*Pfizer,3,mRNA,mRNA,pfizer,Live-virus,Live-virus,MDA-MB-231-hACE2
Protzer,https://doi.org/10.1038/s41591-022-01715-4,n,n,2022.01.28,Germany,Live-virus,MDA-MB-231-hACE2,WT conv + 3*Pfizer (2w psot 3rd dose),36,21,D614G,BA.1,9.8,,9.8,,,,,1.4,,12.6,,4.3,,5.8,,WT conv + 3*Pfizer,2w psot 3rd dose,WT conv + 3*Pfizer,inf+vacc,inf+vacc,inf+vacc,inf+vacc,Live-virus,Live-virus,MDA-MB-231-hACE2
Yu/Barouch,https://doi.org/10.1101/2022.02.06.22270533,n,y,2022.02.07,USA,Pseudovirus,HEK293T-hACE2,2*Pfizer (pre-boost),24,21,WT,BA.1,>>12.9,>>,12.9,129,10,,,,,,,,,,,2*Pfizer,,2*Pfizer,2,mRNA,mRNA,pfizer,Pseudovirus,Lenti-CMV,293T-ACE2
Yu/Barouch,https://doi.org/10.1101/2022.02.06.22270533,n,y,2022.02.07,USA,Pseudovirus,HEK293T-hACE2,3*Pfizer (2w post 3rd dose),24,21,WT,BA.1,6.1,,6.1,6539,1066,,,,,,,,,,,3*Pfizer,2w post 3rd dose,3*Pfizer,3,mRNA,mRNA,pfizer,Pseudovirus,Lenti-CMV,293T-ACE2
Yu/Barouch,https://doi.org/10.1101/2022.02.06.22270533,n,y,2022.02.07,USA,Pseudovirus,HEK293T-hACE2,2/3*mRNA + BA.1,8,6,WT,BA.1,1.2,,1.2,4046,3249,,,,,,,,,,,2/3*mRNA + BA.1,,2/3*mRNA + BA.1,vacc+ba.1,vacc+ba.1,vacc+ba.1,vacc+ba.1,Pseudovirus,Lenti-CMV,293T-ACE2
Yu/Barouch,https://doi.org/10.1101/2022.02.06.22270533,n,y,2022.02.07,USA,Pseudovirus,HEK293T-hACE2,2*Pfizer (pre-boost),24,21,WT,BA.2,>>12.9,>>,12.9,129,10,,,,,,,,,,,2*Pfizer,,2*Pfizer,2,mRNA,mRNA,pfizer,Pseudovirus,Lenti-CMV,293T-ACE2
Yu/Barouch,https://doi.org/10.1101/2022.02.06.22270533,n,y,2022.02.07,USA,Pseudovirus,HEK293T-hACE2,3*Pfizer (2w post 3rd dose),24,21,WT,BA.2,8.4,,8.4,6539,776,,,,,,,,,,,3*Pfizer,2w post 3rd dose,3*Pfizer,3,mRNA,mRNA,pfizer,Pseudovirus,Lenti-CMV,293T-ACE2
Yu/Barouch,https://doi.org/10.1101/2022.02.06.22270533,n,y,2022.02.07,USA,Pseudovirus,HEK293T-hACE2,2/3*mRNA + BA.1,8,6,WT,BA.2,1.7,,1.7,4046,2448,,,,,,,,,,,2/3*mRNA + BA.1,,2/3*mRNA + BA.1,vacc+ba.1,vacc+ba.1,vacc+ba.1,vacc+ba.1,Pseudovirus,Lenti-CMV,293T-ACE2
Iketani/Ho,https://doi.org/10.1101/2022.02.07.479306,n,n,2022.02.09,USA,Pseudovirus,Vero-E6,WT convalescent,10,4,D614G,BA.1,>>12.9,>>,12.9,1402,109,,,,,,,,,,,WT convalescent,,WT conv,WT conv,WT conv,WT conv,WT conv,Pseudovirus,VSV,Vero-E6
Iketani/Ho,https://doi.org/10.1101/2022.02.07.479306,n,n,2022.02.09,USA,Pseudovirus,Vero-E6,2*Moderna (>2w post 2nd dose),12,9,D614G,BA.1,9.4,,9.4,2633,279,,,,,,,,,,,2*Moderna,>2w post 2nd dose,2*Moderna,2,mRNA,mRNA,moderna,Pseudovirus,VSV,Vero-E6
Iketani/Ho,https://doi.org/10.1101/2022.02.07.479306,n,n,2022.02.09,USA,Pseudovirus,Vero-E6,2*Pfizer (some vaccinated + infected) (>2w post 2nd dose),13,4,D614G,BA.1,>9,>,9,1612,180,,,,,,,,,,,2*Pfizer,,2*Pfizer,2,mRNA,mRNA,pfizer,Pseudovirus,VSV,Vero-E6
Iketani/Ho,https://doi.org/10.1101/2022.02.07.479306,n,n,2022.02.09,USA,Pseudovirus,Vero-E6,3*mRNA,16,7,D614G,BA.1,3.2,,3.2,1586,489,,,,,,,,,,,3*mRNA,,3*mRNA,3,mRNA,mRNA,mRNA,Pseudovirus,VSV,Vero-E6
Iketani/Ho,https://doi.org/10.1101/2022.02.07.479306,n,n,2022.02.09,USA,Pseudovirus,Vero-E6,WT convalescent,10,4,D614G,BA.1.1,>>12.5,>>,12.5,1402,112,,,,,,,,,,,WT convalescent,,WT conv,WT conv,WT conv,WT conv,WT conv,Pseudovirus,VSV,Vero-E6
Iketani/Ho,https://doi.org/10.1101/2022.02.07.479306,n,n,2022.02.09,USA,Pseudovirus,Vero-E6,2*Moderna (>2w post 2nd dose),12,9,D614G,BA.1.1,>10.4,>,10.4,2633,252,,,,,,,,,,,2*Moderna,>2w post 2nd dose,2*Moderna,2,mRNA,mRNA,moderna,Pseudovirus,VSV,Vero-E6
Iketani/Ho,https://doi.org/10.1101/2022.02.07.479306,n,n,2022.02.09,USA,Pseudovirus,Vero-E6,2*Pfizer (some vaccinated + infected) (>2w post 2nd dose),13,4,D614G,BA.1.1,>9,>,9,1612,180,,,,,,,,,,,2*Pfizer,,2*Pfizer,2,mRNA,mRNA,pfizer,Pseudovirus,VSV,Vero-E6
Iketani/Ho,https://doi.org/10.1101/2022.02.07.479306,n,n,2022.02.09,USA,Pseudovirus,Vero-E6,3*mRNA,16,7,D614G,BA.1.1,4.4,,4.4,1586,359,,,,,,,,,,,3*mRNA,,3*mRNA,3,mRNA,mRNA,mRNA,Pseudovirus,VSV,Vero-E6
Iketani/Ho,https://doi.org/10.1101/2022.02.07.479306,n,n,2022.02.09,USA,Pseudovirus,Vero-E6,WT convalescent,10,4,D614G,BA.2,>>12.5,>>,12.5,1402,112,,,,,,,,,,,WT convalescent,,WT conv,WT conv,WT conv,WT conv,WT conv,Pseudovirus,VSV,Vero-E6
Iketani/Ho,https://doi.org/10.1101/2022.02.07.479306,n,n,2022.02.09,USA,Pseudovirus,Vero-E6,2*Moderna (>2w post 2nd dose),12,9,D614G,BA.2,>9.5,>,9.5,2633,276,,,,,,,,,,,2*Moderna,>2w post 2nd dose,2*Moderna,2,mRNA,mRNA,moderna,Pseudovirus,VSV,Vero-E6
Iketani/Ho,https://doi.org/10.1101/2022.02.07.479306,n,n,2022.02.09,USA,Pseudovirus,Vero-E6,2*Pfizer (some vaccinated + infected) (>2w post 2nd dose),13,4,D614G,BA.2,>8.2,>,8.2,1612,196,,,,,,,,,,,2*Pfizer,,2*Pfizer,2,mRNA,mRNA,pfizer,Pseudovirus,VSV,Vero-E6
Iketani/Ho,https://doi.org/10.1101/2022.02.07.479306,n,n,2022.02.09,USA,Pseudovirus,Vero-E6,3*mRNA,16,7,D614G,BA.2,6,,6,1586,264,,,,,,,,,,,3*mRNA,,3*mRNA,3,mRNA,mRNA,mRNA,Pseudovirus,VSV,Vero-E6
Sato,https://doi.org/10.1101/2022.02.14.480335,y (Titers),n,2022.02.15,Japan,Pseudovirus,HOS-ACE2/TMPRSS2,2*Moderna (4w post 2nd dose),16,10,D614G,BA.1,15,,15,1554,104,,,,,,,,,3.3,470.91,2*Moderna,4w post 2nd dose,2*Moderna,2,mRNA,mRNA,moderna,Pseudovirus,HIV-1,HOS-ACE2/TMPRSS2
Sato,https://doi.org/10.1101/2022.02.14.480335,y (Titers),n,2022.02.15,Japan,Pseudovirus,HOS-ACE2/TMPRSS2,2*AZ (10-25d post 2nd dose),9,3,D614G,BA.1,17,,17,613,36,,,,,,,,,3.2,191.56,2*AZ,10-25d post 2nd dose,2*AZ,2,az,az,az,Pseudovirus,HIV-1,HOS-ACE2/TMPRSS2
Sato,https://doi.org/10.1101/2022.02.14.480335,y (Titers),n,2022.02.15,Japan,Pseudovirus,HOS-ACE2/TMPRSS2,WT conv,12,11,D614G,BA.1,6.6,,6.6,1632,247,,,,,,,,,2.4,680,WT conv,,WT conv,WT conv,WT conv,WT conv,WT conv,Pseudovirus,HIV-1,HOS-ACE2/TMPRSS2
Sato,https://doi.org/10.1101/2022.02.14.480335,y (Titers),n,2022.02.15,Japan,Pseudovirus,HOS-ACE2/TMPRSS2,Alpha conv,8,3,D614G,BA.1,10.5,,10.5,168,16,,,0.6,287,,,,,1.5,110,Alpha conv,,Alpha conv,Alpha conv,Alpha conv,Alpha conv,Alpha conv,Pseudovirus,HIV-1,HOS-ACE2/TMPRSS2
Sato,https://doi.org/10.1101/2022.02.14.480335,y (Titers),n,2022.02.15,Japan,Pseudovirus,HOS-ACE2/TMPRSS2,Delta conv,15,3,D614G,BA.1,1.8,,1.8,78,44,,,,,,,,,3.832.924,2035,Delta conv,,Delta conv,Delta conv,Delta conv,Delta conv,Delta conv,Pseudovirus,HIV-1,HOS-ACE2/TMPRSS2
Sato,https://doi.org/10.1101/2022.02.14.480335,y (Titers),n,2022.02.15,Japan,Pseudovirus,HOS-ACE2/TMPRSS2,Vacc + BA.1,17,9,D614G,BA.1,2.6,,2.6,710,270,,,,,,,,,1.5,482,Vacc + BA.1,,Vacc + BA.1,vacc+ba.1,vacc+ba.1,vacc+ba.1,vacc+ba.1,Pseudovirus,HIV-1,HOS-ACE2/TMPRSS2
Sato,https://doi.org/10.1101/2022.02.14.480335,y (Titers),n,2022.02.15,Japan,Pseudovirus,HOS-ACE2/TMPRSS2,2*Moderna (4w post 2nd dose),16,10,D614G,BA.2,18,,18,1554,86,,,,,,,,,3.3,470.91,2*Moderna,4w post 2nd dose,2*Moderna,2,mRNA,mRNA,moderna,Pseudovirus,HIV-1,HOS-ACE2/TMPRSS2
Sato,https://doi.org/10.1101/2022.02.14.480335,y (Titers),n,2022.02.15,Japan,Pseudovirus,HOS-ACE2/TMPRSS2,2*AZ (10-25d post 2nd dose),9,3,D614G,BA.2,24,,24,613,26,,,,,,,,,3.2,191.56,2*AZ,10-25d post 2nd dose,2*AZ,2,az,az,az,Pseudovirus,HIV-1,HOS-ACE2/TMPRSS2
Sato,https://doi.org/10.1101/2022.02.14.480335,y (Titers),n,2022.02.15,Japan,Pseudovirus,HOS-ACE2/TMPRSS2,WT conv,12,11,D614G,BA.2,12,,12,1632,136,,,,,,,,,2.4,680,WT conv,,WT conv,WT conv,WT conv,WT conv,WT conv,Pseudovirus,HIV-1,HOS-ACE2/TMPRSS2
Sato,https://doi.org/10.1101/2022.02.14.480335,y (Titers),n,2022.02.15,Japan,Pseudovirus,HOS-ACE2/TMPRSS2,Alpha conv,8,3,D614G,BA.2,3.82,,3.82,168,44,,,0.6,287,,,,,1.5,110,Alpha conv,,Alpha conv,Alpha conv,Alpha conv,Alpha conv,Alpha conv,Pseudovirus,HIV-1,HOS-ACE2/TMPRSS2
Sato,https://doi.org/10.1101/2022.02.14.480335,y (Titers),n,2022.02.15,Japan,Pseudovirus,HOS-ACE2/TMPRSS2,Delta conv,15,3,D614G,BA.2,1.18,,1.18,78,66,,,,,,,,,3.832.924,2035,Delta conv,,Delta conv,Delta conv,Delta conv,Delta conv,Delta conv,Pseudovirus,HIV-1,HOS-ACE2/TMPRSS2
Sato,https://doi.org/10.1101/2022.02.14.480335,y (Titers),n,2022.02.15,Japan,Pseudovirus,HOS-ACE2/TMPRSS2,Vacc + BA.1,17,9,D614G,BA.2,3.68,,3.68,710,193,,,,,,,,,1.5,482,Vacc + BA.1,,Vacc + BA.1,vacc+ba.1,vacc+ba.1,vacc+ba.1,vacc+ba.1,Pseudovirus,HIV-1,HOS-ACE2/TMPRSS2
Xie,https://doi.org/10.1101/2022.02.07.479349,n,n,2022.03.07,China,Pseudovirus,Huh 7,3*CoronaVac (4w post 3rd dose),40,30,D614G,BA.1,5.5,,5.5,633,115,,,,,,,,,,,3*CoronaVac,4w post 3rd dose,3*CoronaVac,3,other,other,other,Pseudovirus,VSV,Huh 7
Xie,https://doi.org/10.1101/2022.02.07.479349,n,n,2022.03.07,China,Pseudovirus,Huh 7,2*CoronaVac + ZF2001 (4w post 3rd dose),39,28,D614G,BA.1,3.6,,3.6,917,255,,,,,,,,,,,2*CoronaVac + ZF2001,4w post 3rd dose,2*CoronaVac + ZF2001,3,other,other,other,Pseudovirus,VSV,Huh 7
Xie,https://doi.org/10.1101/2022.02.07.479349,n,n,2022.03.07,China,Pseudovirus,Huh 7,3*CoronaVac + BA.1 (4w post release),54,39,D614G,BA.1,1.83,,1.83,1423,779,,,,,,,,,,,3*CoronaVac + BA.1,4w post release,3*CoronaVac + BA.1,vacc+ba.1,vacc+ba.1,vacc+ba.1,vacc+ba.1,Pseudovirus,VSV,Huh 7
Xie,https://doi.org/10.1101/2022.02.07.479349,n,n,2022.03.07,China,Pseudovirus,Huh 7,Inf + 2*CoronaVac + ZF2001 (4w post 3rd dose),30,17,D614G,BA.1,4.12,,4.12,1092,265,,,,,,,,,,,Inf + 2*CoronaVac + ZF2001,4w post 3rd dose,Inf + 2*CoronaVac + ZF2001,inf+vacc,inf+vacc,inf+vacc,inf+vacc,Pseudovirus,VSV,Huh 7
